Timestamp,Px,Py,Pz,Speed_m_s,Vx,Vy,Vz
1771971264.1959,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971264.2224,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971264.3226,-0.2903,0.0776,0.7270,0.4617,-0.1809,0.0477,0.4592
1771971264.3559,-0.2882,0.0767,0.7218,0.1570,0.0608,-0.0267,-0.1547
1771971264.4560,-0.2882,0.0767,0.7218,0.2016,-0.0787,0.0293,0.1994
1771971264.4893,-0.2903,0.0776,0.7270,0.1570,-0.0608,0.0267,0.1547
1771971264.5227,-0.2882,0.0767,0.7218,0.1564,0.0606,-0.0266,-0.1542
1771971264.5560,-0.2903,0.0776,0.7270,0.1568,-0.0607,0.0267,0.1545
1771971264.5894,-0.2903,0.0776,0.7270,0.0000,0.0000,0.0000,0.0000
1771971264.6228,-0.2903,0.0776,0.7270,0.0000,0.0000,0.0000,0.0000
1771971264.6561,-0.2903,0.0776,0.7270,0.0000,0.0000,0.0000,0.0000
1771971264.6894,-0.2875,0.0765,0.7200,0.2122,0.0828,-0.0306,-0.2099
1771971264.7228,-0.2875,0.0765,0.7200,0.0000,0.0000,0.0000,0.0000
1771971264.7562,-0.2875,0.0765,0.7200,0.0000,0.0000,0.0000,0.0000
1771971264.7896,-0.2882,0.0767,0.7218,0.0556,-0.0221,0.0040,0.0554
1771971264.8229,-0.2856,0.0757,0.7152,0.2018,0.0788,-0.0293,-0.1997
1771971264.8562,-0.2882,0.0767,0.7218,0.2021,-0.0789,0.0293,0.1999
1771971264.8897,-0.2882,0.0767,0.7218,0.0000,0.0000,0.0000,0.0000
1771971264.9230,-0.2875,0.0765,0.7200,0.0557,0.0221,-0.0040,-0.0555
1771971264.9564,-0.2856,0.0757,0.7152,0.1461,0.0566,-0.0253,-0.1439
1771971264.9898,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.0230,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.0564,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.0898,-0.2875,0.0765,0.7200,0.1464,-0.0567,0.0254,0.1442
1771971265.1232,-0.2856,0.0757,0.7152,0.1463,0.0566,-0.0253,-0.1441
1771971265.1564,-0.2856,0.0756,0.7142,0.0295,0.0018,-0.0026,-0.0294
1771971265.2566,-0.2982,0.0793,0.7465,0.7422,-0.2970,0.0798,0.7379
1771971265.2903,-0.2856,0.0757,0.7152,0.9344,0.3720,-0.1080,-0.9282
1771971265.3233,-0.2882,0.0767,0.7218,0.2043,-0.0797,0.0297,0.2021
1771971265.3566,-0.2856,0.0757,0.7152,0.2016,0.0787,-0.0293,-0.1995
1771971265.3900,-0.2882,0.0767,0.7218,0.2020,-0.0788,0.0293,0.1998
1771971265.4232,-0.2856,0.0757,0.7152,0.2023,0.0790,-0.0294,-0.2002
1771971265.4567,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.4901,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.5234,-0.2882,0.0767,0.7218,0.2017,-0.0787,0.0293,0.1995
1771971265.5568,-0.2875,0.0765,0.7200,74.9338,24.4549,-19.3418,-72.3945
1771971265.5901,-0.2856,0.0757,0.7152,0.1465,0.0567,-0.0254,-0.1442
1771971265.6235,-0.2882,0.0767,0.7218,0.2018,-0.0788,0.0293,0.1997
1771971265.6569,-0.2856,0.0757,0.7152,0.2016,0.0787,-0.0293,-0.1995
1771971265.6902,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.7235,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.7569,-0.2856,0.0757,0.7152,0.0000,0.0000,0.0000,0.0000
1771971265.7903,-0.2882,0.0767,0.7218,0.2020,-0.0788,0.0293,0.1998
1771971265.8236,-0.2982,0.0793,0.7465,0.7428,-0.2972,0.0799,0.7385
1771971265.8571,-0.2856,0.0757,0.7152,0.9423,0.3751,-0.1090,-0.9360
1771971265.8905,-0.2903,0.0776,0.7270,0.3581,-0.1393,0.0559,0.3537
1771971265.9237,-0.2856,0.0757,0.7152,0.3592,0.1397,-0.0561,-0.3548
1771971265.9571,-0.2875,0.0765,0.7200,0.1465,-0.0567,0.0254,0.1443
1771971265.9904,-0.2882,0.0767,0.7218,0.0556,-0.0221,0.0040,0.0555
1771971266.0238,-0.2882,0.0767,0.7218,0.0000,0.0000,0.0000,0.0000
1771971266.0572,-0.2882,0.0767,0.7218,0.0000,0.0000,0.0000,0.0000
1771971266.0905,-0.2875,0.0765,0.7200,0.0556,0.0221,-0.0040,-0.0555
1771971266.1330,-0.2982,0.0793,0.7465,43.5841,-0.3476,-5.0536,-43.2901
1771971266.1572,-0.2982,0.0793,0.7465,0.0000,0.0000,0.0000,0.0000
1771971266.1906,-0.2882,0.0767,0.7218,0.7435,0.2975,-0.0800,-0.7392
1771971266.2239,-0.2903,0.0776,0.7270,0.1566,-0.0606,0.0267,0.1544
1771971266.2573,-0.2882,0.0767,0.7218,0.1565,0.0606,-0.0266,-0.1543
1771971266.2906,-0.2982,0.0793,0.7465,0.7442,-0.2977,0.0800,0.7398
1771971266.3240,-0.2875,0.0765,0.7200,0.7985,0.3193,-0.0839,-0.7941
1771971266.3573,-0.2875,0.0765,0.7200,0.0000,0.0000,0.0000,0.0000
1771971266.3907,-0.2875,0.0765,0.7200,0.0000,0.0000,0.0000,0.0000
1771971266.4240,-0.2875,0.0765,0.7200,0.0000,0.0000,0.0000,0.0000
1771971266.4574,-0.2882,0.0767,0.7218,53.0001,-0.5312,-6.1490,-52.6421
1771971266.4908,-0.2875,0.0765,0.7200,0.0556,0.0221,-0.0040,-0.0554
1771971266.5243,-0.2875,0.0765,0.7200,0.0000,0.0000,0.0000,0.0000
1771971266.5574,-0.2875,0.0765,0.7200,0.0000,0.0000,0.0000,0.0000
