Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v1_data
TIMESTAMP,20260223-232600
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,384
PRED_MASS_KG,0.2974969148635864
MGT,0.35
PRED_MU,0.41393396258354187
MU_GT,N/A
MASS_MAE,0.05250308513641355
MASS_NMAE_PCT,2.7633202703375557
MASS_NRMSE_PCT,2.7633202703375557
MASS_SMAPE_PCT,16.217246424247385
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
