Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-231030
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,374
PRED_MASS_KG,0.5721178650856018
MGT,0.35
PRED_MU,0.4180077910423279
MU_GT,N/A
MASS_MAE,0.22211786508560183
MASS_NMAE_PCT,11.690413951873781
MASS_NRMSE_PCT,11.690413951873781
MASS_SMAPE_PCT,48.175590886091825
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
