Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,color_cubes_ycb_green_rub
OBJECT,color_cubes_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.99_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-232332
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.6339640617370605
MGT,0.99
PRED_MU,0.4176655113697052
MU_GT,N/A
MASS_MAE,0.35603593826293944
MASS_NMAE_PCT,18.73873359278629
MASS_NRMSE_PCT,18.73873359278629
MASS_SMAPE_PCT,43.84776075427536
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
