Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,color_cubes_ycb_green_rub
OBJECT,color_cubes_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.99_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-231444
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.8095923066139221
MGT,0.99
PRED_MU,0.44790899753570557
MU_GT,N/A
MASS_MAE,0.18040769338607787
MASS_NMAE_PCT,9.495141757161994
MASS_NRMSE_PCT,9.495141757161994
MASS_SMAPE_PCT,20.0498404803174
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
