Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-233435
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,380
PRED_MASS_KG,0.6359522342681885
MGT,0.95
PRED_MU,0.4189731478691101
MU_GT,N/A
MASS_MAE,0.3140477657318115
MASS_NMAE_PCT,16.5288297753585
MASS_NRMSE_PCT,16.5288297753585
MASS_SMAPE_PCT,39.603685274509374
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
