Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-224941
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.8735485672950745
MGT,0.95
PRED_MU,0.4446496367454529
MU_GT,N/A
MASS_MAE,0.07645143270492549
MASS_NMAE_PCT,4.02375961604871
MASS_NRMSE_PCT,4.02375961604871
MASS_SMAPE_PCT,8.38490776457117
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
