step,v_y,a_y,is_context_region,is_inference_region
0,0.0003473240577398986,0.03473240577398986,0,0
1,0.0010915352246146565,0.0744211166874758,0,0
2,0.003943278851636895,0.28517436270222385,0,0
3,0.01511103665231292,1.1167757800676026,0,0
4,0.02898488828696928,1.3873851634656358,0,0
5,0.04242852121742881,1.3443632930459528,0,0
6,0.055987438251934904,1.3558917034506095,0,0
7,0.06850674231549835,1.2519304063563441,0,0
8,0.07079307395546709,0.22863316399687472,0,0
9,0.07642740340315173,0.5634329447684633,0,0
10,0.08362883531547105,0.7201431912319325,0,0
11,0.08689227346653561,0.3263438151064557,0,0
12,0.09621071570645273,0.9318442239917124,0,0
13,0.09727713601436697,0.10664203079142343,0,0
14,0.09807637613742397,0.07992401230570018,0,0
15,0.09921045924851181,0.11340831110878413,0,0
16,0.1017311139733938,0.2520654724881985,0,0
17,0.10595264951939071,0.4221535545996913,0,0
18,0.10852940286853383,0.2576753349143118,0,0
19,0.10515640071480291,-0.3373002153730917,0,0
20,0.10289253009746198,-0.22638706173409295,0,0
21,0.09978902620453196,-0.3103503892930015,0,0
22,0.10136782814672103,0.15788019421890676,0,0
23,0.09881167759415785,-0.2556150552563183,0,0
24,0.09528871054326359,-0.3522967050894263,0,0
25,0.09362042086421607,-0.1668289679047516,0,0
26,0.09261630266240134,-0.10041182018147299,0,0
27,0.09074503875049184,-0.18712639119095043,0,0
28,0.0879102575302787,-0.2834781220213134,0,0
29,0.08887708210929868,0.09668245790199759,0,0
30,0.08390472740400423,-0.4972354705294446,0,0
31,0.08484425418924475,0.09395267852405215,0,0
32,0.08125845808805782,-0.3585796101186936,0,0
33,0.07790154503637069,-0.335691305168713,0,0
34,0.07955107845929696,0.1649533422926272,0,0
35,0.0771125652404685,-0.24385132188284586,0,0
36,0.07774799431145808,0.06354290709895821,0,0
37,0.07607354052729022,-0.1674453784167862,0,0
38,0.07614282640969354,0.006928588240331934,0,0
39,0.07807570765116853,0.19328812414749902,0,0
40,0.07480740734635344,-0.32683003048150916,0,0
41,0.07365065476283213,-0.11567525835213116,0,0
42,0.07663836489090947,0.2987710128077345,0,0
43,0.07656180454576056,-0.0076560345148912745,0,0
44,0.07593318286801616,-0.06286216777443981,0,0
45,0.07403986149306427,-0.18933213749518923,0,0
46,0.07663195948377304,0.25920979907087666,0,0
47,0.07649942861009479,-0.013253087367824656,0,0
48,0.07761740391988073,0.11179753097859402,0,0
49,0.0764929314051586,-0.11244725147221274,0,0
50,0.07872823699754888,0.22353055923902826,0,0
51,0.07862075532721238,-0.010748167033650113,0,0
52,0.07592853740116712,-0.2692217926045265,0,0
53,0.07947880530802792,0.35502679068608045,0,0
54,0.07970348341995458,0.022467811192665443,0,0
55,0.0766572037547554,-0.30462796651991725,0,0
56,0.07559510785701218,-0.1062095897743226,0,0
