step,v_y,a_y,is_context_region,is_inference_region
0,-0.0005316353882462466,-0.053163538824624657,0,0
1,7.313014976836061e-05,0.06047655380146072,0,0
2,0.002447748020361816,0.23746178705934554,0,0
3,0.013582881574861642,1.1135133554499825,0,0
4,0.025685156659583028,1.2102275084721386,0,0
5,0.04259768647937578,1.691252981979275,0,0
6,0.05610102923810521,1.3503342758729435,0,0
7,0.0652977865535756,0.9196757315470385,0,0
8,0.07342969765177092,0.8131911098195318,0,0
9,0.07646432556498506,0.3034627913214141,0,0
10,0.08279328872154629,0.6328963156561229,0,0
11,0.09004757635787436,0.7254287636328072,0,0
12,0.0964242095929808,0.637663323510644,0,0
13,0.09929291140340483,0.28687018104240347,0,0
14,0.10080633301788991,0.15134216144850748,0,0
15,0.09730090286256458,-0.3505430155325326,0,0
16,0.10110171242812102,0.3800809565556437,0,0
17,0.1040526905540879,0.29509781259668827,0,0
18,0.1065661358186314,0.2513445264543501,0,0
19,0.10360188239598771,-0.2964253422643698,0,0
20,0.10305732218257505,-0.0544560213412662,0,0
21,0.10271715344337896,-0.034016873919608115,0,0
22,0.10205723874180136,-0.06599147015775991,0,0
23,0.09979402820730432,-0.22632105344970455,0,0
24,0.09710105830668138,-0.2692969900622941,0,0
25,0.0964245408111008,-0.0676517495580578,0,0
26,0.09239115677301785,-0.40333840380829544,0,0
27,0.08895135235514709,-0.34398044178707565,0,0
28,0.08754451441112045,-0.14068379440266426,0,0
29,0.08768349273009382,0.013897831897337343,0,0
30,0.08418785913312223,-0.3495633596971595,0,0
31,0.0861003103606817,0.19124512275594807,0,0
32,0.08148167868906371,-0.46186316716179954,0,0
33,0.07828990659502229,-0.3191772094041423,0,0
34,0.07692600608430912,-0.13639005107131674,0,0
35,0.07521730848095608,-0.17086976033530432,0,0
36,0.07634715956612256,0.11298510851664861,0,0
37,0.07615643108226935,-0.019072848385320862,0,0
38,0.07540590601882596,-0.07505250634433913,0,0
39,0.076749077009657,0.1343170990831033,0,0
40,0.07658278159788998,-0.016629541176702012,0,0
41,0.07419346384601032,-0.23893177518796577,0,0
42,0.07600707159718119,0.18136077511708704,0,0
43,0.0763312003201801,0.03241287229989176,0,0
44,0.07532672612704487,-0.10044741931352352,0,0
45,0.07397736074128157,-0.13493653857633015,0,0
46,0.07556895754528668,0.15915968040051132,0,0
47,0.07802247861406071,0.24535210687740283,0,0
48,0.07712112448967454,-0.0901354124386175,0,0
49,0.07422413069679652,-0.2896993792878014,0,0
50,0.07633079567384243,0.21066649770459106,0,0
51,0.07810897299169126,0.17781773178488225,0,0
52,0.0753240750768661,-0.27848979148251546,0,0
53,0.07641625673313202,0.10921816562659142,0,0
54,0.07612665650483247,-0.02896002282995469,0,0
55,0.07644724405845903,0.032058755362655844,0,0
56,0.07501282054481492,-0.14344235136441036,0,0
57,0.07461326233782196,-0.039955820699295874,0,0
58,0.07487902730774586,0.026576496992389287,0,0
59,0.07604738909735378,0.11683617896079274,0,0
60,0.07558701780477858,-0.046037129257520126,0,0
61,0.07911638809463913,0.3529370289860542,0,0
62,0.08110422492755505,0.19878368329159235,0,0
63,0.07725766633247401,-0.384655859508104,0,0
64,0.07743268792178158,0.01750215893075724,0,0
65,0.0802329644977043,0.28002765759227166,0,0
66,0.08484431598890296,0.46113514911986647,0,0
67,0.08409437907824918,-0.07499369106537812,0,0
68,0.08395614104657165,-0.013823803167753446,0,0
69,0.08282058731673352,-0.11355537298381319,0,0
70,0.0805176444199328,-0.23029428968007193,0,0
71,0.07681675721779606,-0.3700887202136738,0,0
72,0.07749275786907713,0.06760006512810668,0,0
73,0.07693087514054257,-0.05618827285345518,0,0
74,0.07687500672137405,-0.005586841916851992,0,0
75,0.07760306475110232,0.07280580297282652,0,0
76,0.07904340820491666,0.1440343453814344,0,0
77,0.07765900538830475,-0.138440281661191,0,0
78,0.07925789831842589,0.15988929301211374,0,0
79,0.0767624003893628,-0.24954979290630896,0,0
80,0.08038710063459056,0.3624700245227763,0,0
81,0.07944691419461515,-0.09401864399754128,0,0
82,0.07648566250456364,-0.2961251690051514,0,0
83,0.07770571646977611,0.12200539652124781,0,0
84,0.07829932534643842,0.059360887666230766,0,0
85,0.07855619882338559,0.0256873476947167,0,0
86,0.08035510076407214,0.1798901940686548,0,0
87,0.07553261229582751,-0.48224884682446234,0,0
88,0.07471093873942126,-0.08216735564062494,0,0
89,0.07361977182639137,-0.10911669130298923,0,0
90,0.08080788940814308,0.718811758175171,0,0
91,0.08160920651410264,0.08013171059595564,0,0
92,0.07892199239629229,-0.2687214117810352,0,0
93,0.0797087305735753,0.07867381772830168,0,0
94,0.0798063028807315,0.009757230715619347,0,0
95,0.0779414339681209,-0.18648689126106038,0,0
96,0.07599095274077829,-0.1950481227342607,0,0
97,0.08064811054682836,0.4657157806050069,0,0
98,0.08345518517872677,0.2807074631898415,0,0
99,0.08590961488285546,0.2454429704128694,0,0
100,0.0804525201469864,-0.5457094735869069,0,0
101,0.07946756367787144,-0.09849564691149504,0,0
102,0.07966816424469735,0.02006005668259009,0,0
103,0.0777701680756451,-0.18979961690522434,0,0
104,0.0792849435363935,0.15147754607483938,0,0
105,0.07550158498007532,-0.37833585563181726,0,0
106,0.0783684617069236,0.28668767268482803,0,0
107,0.07667263333682753,-0.16958283700960752,0,0
108,0.08032653136195671,0.3653898025129179,0,0
109,0.07706104470552674,-0.3265486656429964,0,0
110,0.07797045524720811,0.09094105416813658,0,0
111,0.08055164896221721,0.2581193715009103,0,0
112,0.08148932050019067,0.09376715379734585,0,0
113,0.07762046237760695,-0.3868858122583724,0,0
114,0.07770440905046097,0.00839466728540239,0,0
115,0.07703600914200551,-0.06683999084554637,0,0
116,0.07931069603516623,0.2274686893160724,0,0
117,0.08076889160607922,0.1458195570912993,0,0
118,0.08099627280752693,0.022738120144770446,0,0
119,0.07874215249164716,-0.2254120315879765,0,0
120,0.0813340378688523,0.25918853772051303,0,0
121,0.07890209931885254,-0.24319385499997487,0,0
122,0.08147162976820417,0.2569530449351626,0,0
123,0.07633665043118815,-0.5134979337016023,0,0
124,0.07898081219000501,0.26441617588168626,0,0
125,0.08086478600900154,0.18839738189965344,0,0
126,0.07795442678311594,-0.2910359225885603,0,0
127,0.08051404108548886,0.255961430237292,0,0
128,0.08117110125319923,0.06570601677103743,0,0
129,0.08067767003931814,-0.04934312138810959,0,0
130,0.08146118241405696,0.07835123747388234,0,0
131,0.08455959866480084,0.30984162507438767,0,0
132,0.08007854229221505,-0.44810563725857927,0,0
133,0.07760592967783797,-0.2472612614377076,0,0
134,0.07860009603453479,0.09941663566968156,0,0
135,0.07978348257287421,0.11833865383394232,0,0
136,0.07682091085182062,-0.2962571721053589,0,0
137,0.07774060503816038,0.09196941863397617,0,0
138,0.08136260543249993,0.36220003943395473,0,0
139,0.07920067208306585,-0.21619333494340837,0,0
140,0.07990410657155582,0.07034344884899735,0,0
141,0.07773085883904796,-0.2173247732507863,0,0
142,0.07871065309281491,0.0979794253766958,0,0
143,0.08020720530710944,0.14965522142945248,0,0
144,0.07847327840475518,-0.17339269023542575,0,0
145,0.0816339001451985,0.316062174044332,0,0
146,0.0805890626292655,-0.10448375159329976,0,0
147,0.07909802517551119,-0.14910374537543125,0,0
148,0.08170592477112743,0.2607899595616234,0,0
149,0.07827169072879783,-0.34342340423295925,0,0
150,0.07965487060744528,0.13831798786474447,0,0
151,0.07798823804463555,-0.16666325628097306,0,0
152,0.0808082160170965,0.281997797246096,0,0
153,0.07910995637616226,-0.16982596409342438,0,0
154,0.07911617754872534,0.0006221172563075639,0,0
155,0.07959853400763381,0.048235645890847,0,0
156,0.0772666744123504,-0.23318595952834115,0,0
157,0.07841270143758086,0.11460270252304644,0,0
158,0.07954953518169404,0.11368337441131776,0,0
159,0.07867783050798714,-0.08717046737068967,0,0
160,0.08022527301787888,0.1547442509891736,0,0
161,0.07910152099915356,-0.11237520187253186,0,0
162,0.08087965350926163,0.17781325101080686,0,0
163,0.07651257369893524,-0.4367079810326385,0,0
164,0.07829377317682586,0.17811994778906132,0,0
165,0.07836293574896669,0.006916257214083232,0,0
166,0.07456973245322646,-0.3793203295740233,0,0
167,0.07852620212252644,0.39564696692999807,0,0
168,0.07728729500340807,-0.12389071191183654,0,0
169,0.07861140443785744,0.13241094344493692,0,0
170,0.07529021267322679,-0.33211917646306516,0,0
171,0.0782449951595247,0.2954782486297908,0,0
172,0.07880164805448733,0.05566528949626365,0,0
173,0.08036611585108355,0.15644677965962195,0,0
174,0.08158780439925757,0.12216885481740186,0,0
175,0.0795143727433139,-0.2073431655943675,0,0
176,0.07966088972910322,0.014651698578932448,0,0
177,0.0777100479731325,-0.19508417559707253,0,0
178,0.07670793361925846,-0.10021143538740396,0,0
179,0.08252238658373037,0.5814452964471917,0,0
180,0.07585783188783927,-0.6664554695891097,0,0
181,0.08173714070876248,0.5879308820923204,0,0
182,0.07527545800589427,-0.6461682702868204,0,0
183,0.08024372275290004,0.4968264747005763,0,0
184,0.0803631345787784,0.011941182587836552,0,0
185,0.08279256591677737,0.24294313379989718,0,0
186,0.08052605137534148,-0.22665145414358934,0,0
187,0.07907773549422305,-0.14483158811184338,0,0
188,0.07907764110676574,-9.438745730838694e-06,0,0
189,0.08200793278173504,0.2930291674969304,0,0
190,0.08146057936494659,-0.05473534167884514,0,0
191,0.08174093325885808,0.028035389391148358,0,0
192,0.08115972341817826,-0.05812098406798166,0,0
193,0.0771541456026946,-0.4005577815483663,0,0
194,0.07790296424318854,0.07488186404939479,0,0
195,0.07716330741396107,-0.07396568292274697,0,0
196,0.07978692232918375,0.2623614915222672,0,0
197,0.0779598339378575,-0.18270883913262398,0,0
198,0.07798336552268365,0.002353158482613915,0,0
199,0.07641672967902885,-0.15666358436547956,0,0
200,0.07480504824754437,-0.16116814314844768,0,0
201,0.07476937838800879,-0.003566985953558366,0,0
202,0.08112545691141715,0.6356078523408359,0,0
203,0.07976475617908181,-0.13607007323353376,0,0
204,0.08244741203773714,0.26826558586553334,0,0
205,0.07978356674463584,-0.2663845293101305,0,0
206,0.0823081174063666,0.2524550661730754,0,0
207,0.081973795784777,-0.03343216215895978,0,0
208,0.0837040712869833,0.17302755022063077,0,0
209,0.08112227036973567,-0.2581800917247634,0,0
210,0.07742641805674928,-0.36958523129863863,0,0
211,0.07573543718288953,-0.1690980873859757,0,0
212,0.07927393360570514,0.3538496422815618,0,0
213,0.07851913800168897,-0.0754795604016173,0,0
214,0.08133331608129092,0.28141780796019505,0,0
215,0.08112383299836523,-0.02094830829256905,0,0
216,0.07876913322548622,-0.23546997728790126,0,0
217,0.07941604186032444,0.06469086348382252,0,0
218,0.08014804444666697,0.07320025863425256,0,0
219,0.08049448937566045,0.03464449289934807,0,0
220,0.07934928480645248,-0.11452045692079693,0,0
221,0.08040609412809142,0.10568093216389435,0,0
222,0.07671717435528971,-0.36889197728017104,0,0
223,0.07832212255201038,0.16049481967206625,0,0
224,0.07647424525311348,-0.1847877298896891,0,0
225,0.07484444800666477,-0.1629797246448711,0,0
226,0.0740025410058614,-0.08419070008033741,0,0
227,0.0786938781815546,0.46913371756932,0,0
228,0.07562841698846227,-0.30654611930923253,0,0
229,0.07649692419588436,0.0868507207422084,0,0
230,0.07841344641371457,0.1916522217830216,0,0
231,0.07893196468081645,0.05185182671018779,0,0
232,0.08020198038000727,0.12700156991908157,0,0
233,0.08351452694096698,0.3312546560959709,0,0
234,0.07669650062887724,-0.6818026312089733,0,0
235,0.08284260210073278,0.6146101471855542,0,0
236,0.078087916959708,-0.47546851410247837,0,0
