step,dt,v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,aw_x,aw_y,aw_z
0,0.01,-1.54373628504232e-05,0.00012621982814827178,-0.00013781615599011205,-0.0005673128620787462,0.0001364349670202577,-0.001096920824125001,-0.00154373628504232,0.01262198281482718,-0.013781615599011206,-0.05673128620787462,0.013643496702025772,-0.1096920824125001
1,0.01,-0.0010468669535916694,-0.00023414654904712638,-0.00011534352116848811,-0.0015456973974032394,0.0018584910120371992,0.001469799330460134,-0.10314295907412463,-0.03603663771953982,0.0022472634821623957,-0.0978384535324493,0.17220560450169414,0.2566720154585135
2,0.01,-0.0007531102196737321,-0.0006524266267764075,0.0005967021670199448,0.0004832197358427605,0.001450172332718569,0.0022162298712646443,0.02937567339179374,-0.041828007772928104,0.07120456881884328,0.20289171332459996,-0.04083186793186301,0.07464305408045101
3,0.01,-0.0009142152416153021,-0.00014761688124579378,0.0005969263362833397,0.0005477882744177895,0.00114347032112158,0.0019875918607328512,-0.016110502194157002,0.05048097455306137,2.241692633949121e-05,0.006456853857502896,-0.030670201159698922,-0.02286380105317926
4,0.01,-0.0013951024464258798,0.0014617251403627267,9.425798141169741e-05,-0.00024449857612816596,0.0013217759930403143,0.00010768366245447236,-0.04808872048105777,0.16093420216085205,-0.05026683548716423,-0.07922868505459554,0.01783056719187345,-0.1879908198278379
5,0.01,-0.002443918583183165,0.004949094467633921,-0.0007272390154263222,-0.001981961347910808,0.0007538852430765026,-0.0033031589541444363,-0.10488161367572853,0.3487369327271195,-0.08214969968380197,-0.1737462771782642,-0.05678907499638118,-0.3410842616598909
6,0.01,-0.0027304396435302207,0.010890957843554408,-0.0029156890261179194,-0.00418676089050185,-0.003360042302250615,-0.007778020694456375,-0.028652106034705544,0.5941863375920486,-0.2188450010691597,-0.2204799542591041,-0.4113927545327118,-0.4474861740311939
7,0.01,-0.003643590774217065,0.018871358448608443,-0.006699711625327725,-0.009262890903083246,-0.006168759773886735,-0.016264780027763662,-0.09131511306868444,0.7980400605054032,-0.3784022599209805,-0.5076130012581397,-0.280871747163612,-0.8486759333307285
8,0.01,-0.004841623965050512,0.028675132754562467,-0.011637182791619115,-0.016478930850047823,-0.013775855939507859,-0.026845539956855163,-0.11980331908334478,0.9803774305954025,-0.49374711662913917,-0.7216039946964578,-0.7607096165621121,-1.0580759929091503
9,0.01,-0.005859701165710964,0.03942246131793834,-0.018088690931368567,-0.026096454181418573,-0.02403791224601271,-0.03892856538935429,-0.1018077200660452,1.074732856337587,-0.6451508139749449,-0.9617523331370748,-1.0262056306504852,-1.2083025432499122
10,0.01,-0.00665074738815463,0.05002704369550781,-0.024561603674584095,-0.0348036671602148,-0.03580887448375556,-0.04805271336698487,-0.07910462224436655,1.0604582377569474,-0.6472912743215526,-0.8707212978796229,-1.177096223774285,-0.9124147977630587
11,0.01,-0.007228764826298436,0.059581601632727375,-0.031102601349345175,-0.0449483941637113,-0.04581900349515196,-0.06089770320565268,-0.057801743814380635,0.9554557937219567,-0.6540997674761081,-1.0144727003496494,-1.0010129011396394,-1.284498983866781
12,0.01,-0.007719851671371364,0.06799358757546929,-0.03674426159843063,-0.054528582642342595,-0.05781605586622706,-0.0683597475805368,-0.04910868450729275,0.8411985942741913,-0.5641660249085458,-0.95801884786313,-1.1997052371075105,-0.7462044374884111
13,0.01,-0.007832731294544223,0.07433977654231337,-0.04118560488796655,-0.06120192918910238,-0.0662067816386959,-0.0750304820223587,-0.011287962317285922,0.6346188966844076,-0.4441343289535918,-0.6673346546759783,-0.8390725772468833,-0.6670734441821887
14,0.01,-0.007615778247941237,0.07877471824804129,-0.0429573092996916,-0.06386493036221334,-0.07123374905433863,-0.0765556261039754,0.02169530466029856,0.4434941705727915,-0.17717044117250502,-0.26630011731109615,-0.502696741564274,-0.1525144081616723
15,0.01,-0.006597756891814794,0.08215920740888061,-0.04396647000457968,-0.06435778028528043,-0.07509720544034999,-0.08129743628386657,0.10180213561264437,0.3384489160839319,-0.1009160704888073,-0.04928499230670908,-0.3863456386011354,-0.4741810179891176
16,0.01,-0.00595549952131111,0.08465634260099723,-0.0439289595994892,-0.06477115942798436,-0.0770687433182394,-0.08350964618011021,0.06422573705036837,0.24971351921166318,0.0037510405090470616,-0.04133791427039291,-0.1971537877889411,-0.2212209896243635
17,0.01,-0.005402048644766827,0.086468072479257,-0.04292980853161629,-0.06317865201447088,-0.0773473821103624,-0.08504139322272428,0.05534508765442828,0.18117298782597652,0.09991510678729146,0.15925074135134726,-0.027863879212300966,-0.15317470426140567
18,0.01,-0.004766056012702355,0.08809027749770168,-0.04132398711162714,-0.0600240684158599,-0.07702489861566943,-0.08487856322733038,0.06359926320644725,0.16222050184446932,0.1605821419989149,0.3154583598610983,0.03224834946929834,0.016282999539388224
19,0.01,-0.0037030709576167035,0.08952391665709176,-0.03981076996549083,-0.058709042516234905,-0.07531494902556261,-0.08638754784846936,0.10629850550856514,0.14336391593900819,0.15132171461363136,0.1315025899625,0.1709949590106821,-0.1508984621138966
20,0.01,-0.0035588404023185628,0.09003401357906128,-0.03840771545086975,-0.05700288200509072,-0.07393557061220903,-0.08681852255495053,0.014423055529814058,0.05100969219695125,0.14030545146210768,0.1706160511144188,0.13793784133535905,-0.04309747064811764
21,0.01,-0.0025930111057247407,0.0906152753022301,-0.03605186344307164,-0.05381730726568319,-0.07069554916160897,-0.08391540944577618,0.09658292965938221,0.05812617231688196,0.2355852007798112,0.31855747394075234,0.324002145060004,0.2903113109174354
22,0.01,-0.0019117514468017316,0.09054633186140822,-0.03251993019648245,-0.04920600638589086,-0.06617587795458893,-0.08146565879390927,0.06812596589230085,-0.006894344082189282,0.35319332465891845,0.4611300879792333,0.4519671207020051,0.24497506518669077
23,0.01,-0.001025560391573472,0.089296088221351,-0.0288981554357453,-0.04589487319472724,-0.058622031391990584,-0.07734826206039044,0.08861910552282598,-0.12502436400572106,0.3621774760737154,0.33111331911636255,0.7553846562598339,0.4117396733518823
24,0.01,-0.00042763954177038816,0.08644196794089053,-0.024169382713277378,-0.03680716660809621,-0.04995048458522156,-0.07264400533083713,0.05979208498030841,-0.28541202804604765,0.4728772722467921,0.9087706586631022,0.8671546806769027,0.4704256729553315
25,0.01,0.00021119028834943283,0.08414556292967988,-0.018620092619865185,-0.030174670088757037,-0.03992516024993392,-0.06570854902360164,0.06388298301198209,-0.22964050112106452,0.5549290093412191,0.6632496519339173,1.0025324335287638,0.6935456307235495
26,0.01,-0.00085797993888753,0.0807822839113329,-0.01368671679670308,-0.023182986305149957,-0.031302099984559156,-0.05665482240569759,-0.10691702272369626,-0.33632790183469896,0.4933375823162105,0.6991683783607081,0.8623060265374763,0.9053726617904055
27,0.01,-0.0005506290877004111,0.0781135393341897,-0.010405512857935374,-0.01628999817877404,-0.02498540208147896,-0.051212517738392506,0.030735085118711886,-0.26687445771432,0.3281203938767704,0.6892988126375917,0.6316697903080197,0.5442304667305079
28,0.01,-0.0009808060696666811,0.07669086751608459,-0.006485263580417528,-0.010851991283516993,-0.020274439350447704,-0.04532182090258199,-0.043017698196627034,-0.14226718181051107,0.39202492775178466,0.5438006895257047,0.4710962731031257,0.5890696835810513
