step,dt,v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,aw_x,aw_y,aw_z
0,0.01,-9.737318788536581e-05,0.00017861729347737107,-0.0004888374500985192,-0.00040094010310762435,-0.0009571903390186892,-0.0007722808208365599,-0.00973731878853658,0.017861729347737106,-0.048883745009851924,-0.040094010310762436,-0.09571903390186892,-0.07722808208365599
1,0.01,-0.00042606239590949795,9.716169697077118e-05,-0.0005200677990744442,-0.0009430887699528034,-5.5144979161577915e-05,0.0005107278695945849,-0.032868920802413215,-0.008145559650659988,-0.003123034897592504,-0.05421486668451789,0.09020453598571113,0.1283008690431145
2,0.01,0.0004945270600687685,-0.0005338124380762083,0.00048405470189268507,0.00175530245648248,-0.0011714763741853375,-0.0005319472396943434,0.09205894559782664,-0.06309741350469794,0.10041225009671297,0.2698391226435283,-0.11163313950237595,-0.10426751092889283
3,0.01,0.0007456094728366995,-0.0018316339192563302,0.0004993911244293357,0.001573227517136883,-0.0002492736853527067,0.0015679783054617113,0.025108241276793106,-0.12978214811801217,0.0015336422536650607,-0.018207493934559695,0.0922202688832631,0.2099925545156055
4,0.01,0.001934266943297051,-0.003711166785701181,0.0020978296771344386,0.0037221823727863015,0.0019863538651576688,0.0031703871804512345,0.11886574704603516,-0.18795328664448507,0.15984385527051032,0.21489548556494184,0.22356275505103756,0.1602408874989523
5,0.01,0.0037418499114058174,-0.00668119012769323,0.004043786556455773,0.006823946920982426,0.003960331581683521,0.006196665688427905,0.18075829681087666,-0.29700233419920496,0.19459568793213325,0.31017645481961237,0.1973977716525852,0.30262785079766696
6,0.01,0.006661372274954111,-0.01050512052962328,0.007120296642125563,0.009998204963355732,0.008700717896118225,0.0095335179069196,0.2919522363548293,-0.382393040193005,0.3076510085669792,0.3174258042373306,0.47403863144347036,0.33368522184916966
7,0.01,0.0100888528648773,-0.014416590735522775,0.009877328936586466,0.013221979308586087,0.013607302422436789,0.013702022212040033,0.3427480589923189,-0.3911470205899493,0.2757032294460903,0.3223774345230357,0.49065845263185637,0.4168504305120433
8,0.01,0.014675035728539962,-0.018228749204328168,0.014164993988575651,0.02056523935431685,0.017787164539593173,0.016926876918510397,0.45861828636626617,-0.3812158468805394,0.42876650519891857,0.7343260045730762,0.41798621171563866,0.3224854706470364
9,0.01,0.020299363031429343,-0.020249437246064587,0.017048913729773234,0.02411901754403955,0.02149398180314004,0.018115719684178966,0.562432730288938,-0.20206880417364187,0.2883919741197583,0.3553778189722697,0.3706817263546864,0.11888427656685711
10,0.01,0.026336145251073563,-0.02194796601141311,0.019298931095432202,0.028387286194739004,0.02419078065000141,0.015919364518433315,0.603678221964422,-0.16985287653485223,0.22500173656589662,0.42682686506994544,0.2696798846861367,-0.21963551657456518
11,0.01,0.03216718075974232,-0.022361444421168716,0.021240402585942498,0.03398719557165816,0.0234976155442023,0.013999871572293182,0.583103550866876,-0.04134784097556071,0.19414714905102945,0.5599909376919164,-0.06931651057991046,-0.19194929461401353
12,0.01,0.037718072775539936,-0.021165446414370955,0.021343638923525376,0.03630071582994863,0.021564764921786616,0.009480539508049132,0.555089201579761,0.11959980067977626,0.010323633758287987,0.23135202582904615,-0.19328506224156844,-0.451933206424405
13,0.01,0.043134347006367105,-0.018661919067535684,0.020331631813205762,0.034749993203267146,0.018655760408730633,0.001744345517964275,0.5416274230827168,0.250352734683527,-0.10120071103196131,-0.15507226266814814,-0.29090045130559844,-0.7736193990084858
14,0.01,0.04768211592057655,-0.01645010428737104,0.018866339282609345,0.033292932731206246,0.015354859925821153,-0.005216346463880839,0.45477689142094446,0.22118147801646426,-0.14652925305964182,-0.14570604720609018,-0.330090048290948,-0.6960691981845114
15,0.01,0.05142704421067367,-0.01323439731877874,0.016975046240942735,0.030414540056744516,0.011268532794845512,-0.010535300867891343,0.3744928290097121,0.3215706968592301,-0.18912930416666068,-0.2878392674461731,-0.4086327130975641,-0.5318954404010504
16,0.01,0.05510214922987525,-0.010283072812384424,0.014412860453303502,0.023391805611423924,0.009192003953408068,-0.01649012816830568,0.367510501920158,0.2951324506394315,-0.25621857876392345,-0.7022734445320589,-0.20765288414374417,-0.5954827300414338
17,0.01,0.058146170801829766,-0.00848055266850009,0.012552973247424755,0.01620920002919368,0.006718210860011398,-0.019709401445773066,0.3044021571954521,0.18025201438843363,-0.18598872058787475,-0.7182605582230246,-0.24737930933966723,-0.32192732774673827
18,0.01,0.06082259740127638,-0.007402939202469333,0.010655745514358673,0.012778002754928842,0.005012372910152241,-0.021789355682965136,0.2676426599446611,0.10776134660307561,-0.1897227733066081,-0.34311972742648367,-0.17058379498591564,-0.20799542371920723
19,0.01,0.06261179303672783,-0.006330601994246332,0.009014472592796047,0.009825149483354173,0.0014412820037363442,-0.023142399894935183,0.17891956354514438,0.10723372082230005,-0.1641272921562627,-0.29528532715746697,-0.35710909064158974,-0.13530442119700475
20,0.01,0.06394906921228646,-0.0062217087849494365,0.007580679111584066,0.007249777969798884,-0.004354412635282345,-0.02377702105514053,0.13372761755586463,0.010889320929689533,-0.14337934812119804,-0.2575371513555288,-0.5795694639018688,-0.06346211602053452
21,0.01,0.06609284500369629,-0.0058634720397811235,0.005320738199981493,0.006617813597597198,-0.008158432745735831,-0.025659889387287017,0.21437757914098207,0.03582367451683128,-0.22599409116025732,-0.06319643722016867,-0.3804020110453487,-0.18828683321464873
22,0.01,0.068935082444703,-0.0046758208520130936,0.003804558599587873,0.00693525629061908,-0.01059100203756165,-0.029162012186710766,0.2842237441006714,0.11876511877680301,-0.151617960039362,0.0317442693021882,-0.24325692918258177,-0.3502122799423748
23,0.01,0.0702902632243173,-0.002965023250676948,0.0018439463790219024,0.003620342318954493,-0.01751115220232697,-0.03227246869804581,0.1355180779614305,0.17107976013361453,-0.196061222056597,-0.3314913971664587,-0.6920150164765319,-0.31104565113350396
24,0.01,0.07151756779098647,-0.001428731884603998,-0.0001188428188910015,0.000925424106238379,-0.019775067599633444,-0.03428942169285388,0.12273045666691633,0.15362913660729502,-0.19627891979129045,-0.26949182127161136,-0.22639153973064738,-0.20169529948080708
25,0.01,0.07445021082909592,0.0012473071092488643,-0.002078642538212291,-0.0030690527760602526,-0.016711296830229972,-0.038319260224406744,0.29326430381094404,0.2676038993852862,-0.19597997193212896,-0.39944768822986315,0.3063770769403471,-0.4029838531552869
26,0.01,0.07537879775326134,0.003857383433900822,-0.004713972665871922,-0.009750253746044706,-0.021289213303643622,-0.039894708448560176,0.09285869241654196,0.26100763246519576,-0.2635330127659631,-0.6681200969984453,-0.45779164734136507,-0.15754482241534307
27,0.01,0.07543879076311275,0.005493590208909805,-0.006747420389066826,-0.01495365256469694,-0.025963356677397666,-0.04227400374611279,0.005999300985141661,0.16362067750089823,-0.2033447723194904,-0.5203398818652233,-0.46741433737540433,-0.23792952975526108
28,0.01,0.07526459619622694,0.005427132052937257,-0.008183102843429567,-0.015899780402624415,-0.026743880180260637,-0.04051109689961659,-0.017419456688581306,-0.006645815597254746,-0.14356824543627397,-0.09461278379274748,-0.07805235028629726,0.17629068464961967
29,0.01,0.07551470600356643,0.005318866115475452,-0.010615555477151756,-0.020607999887509186,-0.030442210698795845,-0.040634240023296145,0.02501098073394835,-0.010826593746180516,-0.24324526337221902,-0.470821948488477,-0.36983305185352056,-0.012314312367955238
30,0.01,0.07434450100208416,0.004328279770083078,-0.012258497589590458,-0.0239475920616761,-0.03497126337792096,-0.03614665643863725,-0.11702050014822592,-0.0990586345392374,-0.1642942112438701,-0.33395921741669155,-0.45290526791251134,0.4487583584658889
31,0.01,0.07412599417689991,0.0030100098388694155,-0.012232305974138973,-0.02338053095454786,-0.034853919611492395,-0.03600763845082657,-0.021850682518425316,-0.1318269931213662,0.002619161545148268,0.056706110712823846,0.011734376642856129,0.013901798781067919
