Surface,Object,Trial,Distance_m,Time_s,Accel_m_s2,mu_k
Green Rub,No Lid Cube,1,0.75,1.18,1.0773,0.5185
Green Rub,No Lid Cube,2,0.75,1.09,1.2625,0.496
Green Rub,No Lid Cube,3,0.75,1.18,1.0773,0.5185
Green Rub,No Lid Cube,4,0.75,1.13,1.1747,0.5066
Green Rub,No Lid Cube,5,0.75,1.2,1.0417,0.5228
Green Rub,No Lid Cube,6,0.75,1.1,1.2397,0.4987
Green Rub,No Lid Cube,7,0.75,1.17,1.0958,0.5162
Green Rub,No Lid Cube,8,0.75,1.15,1.1342,0.5115
Green Rub,No Lid Cube,9,0.75,1.15,1.1342,0.5115
Green Rub,No Lid Cube,10,0.75,1.26,0.9448,0.5346
Green Rub,Blue Cylinder,1,0.8,0.79,2.5637,0.3378
Green Rub,Blue Cylinder,2,0.8,0.82,2.3795,0.3602
Green Rub,Blue Cylinder,3,0.8,0.85,2.2145,0.3802
Green Rub,Blue Cylinder,4,0.8,0.76,2.7701,0.3127
Green Rub,Blue Cylinder,5,0.8,0.88,2.0661,0.3983
Green Rub,Blue Cylinder,6,0.8,0.84,2.2676,0.3738
Green Rub,Blue Cylinder,7,0.8,0.81,2.4387,0.353
Green Rub,Blue Cylinder,8,0.8,0.84,2.2676,0.3738
Green Rub,Blue Cylinder,9,0.8,0.82,2.3795,0.3602
Green Rub,Blue Cylinder,10,0.8,0.89,2.0199,0.4039
Green Rub,Colored Cubes,1,0.77,0.87,2.0346,0.4021
Green Rub,Colored Cubes,2,0.77,0.74,2.8123,0.3076
Green Rub,Colored Cubes,3,0.77,0.74,2.8123,0.3076
Green Rub,Colored Cubes,4,0.77,0.74,2.8123,0.3076
Green Rub,Colored Cubes,5,0.77,0.69,3.2346,0.2563
Green Rub,Colored Cubes,6,0.77,0.73,2.8898,0.2982
Green Rub,Colored Cubes,7,0.77,0.7,3.1429,0.2674
Green Rub,Colored Cubes,8,0.77,0.68,3.3304,0.2446
Green Rub,Colored Cubes,9,0.77,0.72,2.9707,0.2883
Green Rub,Colored Cubes,10,0.77,0.74,2.8123,0.3076
Green Rub,Wooden Cube,1,0.761,0.72,2.936,0.2926
Green Rub,Wooden Cube,2,0.761,0.74,2.7794,0.3116
Green Rub,Wooden Cube,3,0.761,0.77,2.567,0.3374
Green Rub,Wooden Cube,4,0.761,0.7,3.1061,0.2719
Green Rub,Wooden Cube,5,0.761,0.71,3.0192,0.2824
Green Rub,Wooden Cube,6,0.761,0.74,2.7794,0.3116
Green Rub,Wooden Cube,7,0.761,0.79,2.4387,0.353
Green Rub,Wooden Cube,8,0.761,0.74,2.7794,0.3116
Green Rub,Wooden Cube,9,0.761,0.76,2.635,0.3291
Green Rub,Wooden Cube,10,0.761,0.73,2.8561,0.3023
Wood Smooth,No Lid Cube,1,1.07,0.94,2.4219,0.355
Wood Smooth,No Lid Cube,2,1.07,0.97,2.2744,0.373
Wood Smooth,No Lid Cube,3,1.07,0.84,3.0329,0.2808
Wood Smooth,No Lid Cube,4,1.07,0.95,2.3712,0.3612
Wood Smooth,No Lid Cube,5,1.07,0.85,2.9619,0.2894
Wood Smooth,No Lid Cube,6,1.07,0.95,2.3712,0.3612
Wood Smooth,No Lid Cube,7,1.07,0.88,2.7634,0.3135
Wood Smooth,No Lid Cube,8,1.07,0.96,2.322,0.3672
Wood Smooth,No Lid Cube,9,1.07,0.87,2.8273,0.3058
Wood Smooth,No Lid Cube,10,1.07,1.05,1.941,0.4135
Wood Smooth,Blue Cylinder,1,1.12,0.83,3.2516,0.2542
Wood Smooth,Blue Cylinder,2,1.12,0.79,3.5892,0.2132
Wood Smooth,Blue Cylinder,3,1.12,0.82,3.3314,0.2445
Wood Smooth,Blue Cylinder,4,1.12,0.86,3.0287,0.2813
Wood Smooth,Blue Cylinder,5,1.12,0.8,3.5,0.224
Wood Smooth,Blue Cylinder,6,1.12,0.87,2.9594,0.2897
Wood Smooth,Blue Cylinder,7,1.12,0.86,3.0287,0.2813
Wood Smooth,Blue Cylinder,8,1.12,0.86,3.0287,0.2813
Wood Smooth,Blue Cylinder,9,1.12,0.9,2.7654,0.3133
Wood Smooth,Blue Cylinder,10,1.12,0.94,2.5351,0.3413
Wood Smooth,Colored Cubes,1,1.09,0.76,3.7742,0.1907
Wood Smooth,Colored Cubes,2,1.09,0.71,4.3245,0.1238
Wood Smooth,Colored Cubes,3,1.09,0.74,3.981,0.1655
Wood Smooth,Colored Cubes,4,1.09,0.74,3.981,0.1655
Wood Smooth,Colored Cubes,5,1.09,0.71,4.3245,0.1238
