Timestamp,Px,Py,Pz,Speed_m_s,Vx,Vy,Vz
1772142348.8055,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142348.8153,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142348.8236,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142349.0666,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142349.1334,-0.5230,-0.0012,1.1585,0.6548,-0.2709,0.0974,0.5961
1772142349.5451,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142349.5563,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142349.6452,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142349.7009,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142349.7119,-0.5200,-0.0023,1.1518,0.0000,0.0000,0.0000,0.0000
1772142350.0792,-0.5200,-0.0023,1.1518,3.5563,-1.3283,-0.2161,3.2989
1772142350.1793,-0.4953,0.0024,1.1065,4.6680,-1.8987,0.1059,4.2644
1772142350.9026,0.0818,0.3501,1.0803,1.3717,1.3396,0.7482,-0.2952
1772142351.2475,0.3670,0.4719,1.1326,4.0727,0.9678,1.7537,3.9561
1772142351.3143,0.3447,0.4702,1.1113,6.1810,-2.0371,-2.2306,-5.8356
