Timestamp,Px,Py,Pz,Speed_m_s,Vx,Vy,Vz
1771976192.3512,-0.2446,0.0789,0.7486,0.1627,0.0471,-0.0317,-0.1557
1771976192.4010,-0.2446,0.0789,0.7486,0.0000,0.0000,0.0000,0.0000
1771976192.4517,-0.2469,0.0804,0.7561,0.1542,-0.0447,0.0301,0.1476
1771976192.8035,-0.2352,0.0761,0.7218,0.5735,0.1912,-0.0559,-0.5407
1771976192.8535,-0.2352,0.0761,0.7218,0.0000,0.0000,0.0000,0.0000
1771976193.0547,-0.2466,0.0793,0.7552,0.1351,-0.0388,0.0080,0.1294
1771976193.1056,-0.2490,0.0808,0.7630,0.1601,-0.0478,0.0303,0.1528
1771976193.8078,-0.2468,0.0792,0.7545,0.1267,-0.0431,0.0069,0.1191
1771976193.8583,-0.2359,0.0762,0.7236,0.6504,0.2148,-0.0593,-0.6139
1771976194.1099,-0.2446,0.0789,0.7486,0.1961,0.0569,-0.0220,-0.1877
1771976194.1599,-0.2359,0.0762,0.7236,0.5312,0.1741,-0.0530,-0.5018
1771976194.2103,-0.2442,0.0793,0.7483,0.5172,-0.1631,0.0610,0.4909
1771976194.2606,-0.2485,0.0802,0.7612,0.2710,-0.0868,0.0177,0.2567
1771976194.5624,-0.2855,1.3797,5.7260,96.9811,-0.7165,25.3810,96.9784
1771976194.7131,-0.2469,0.0804,0.7561,0.0655,-0.0195,0.0146,0.0625
1771976194.7626,-0.2363,0.0763,0.7244,0.6749,0.2135,-0.0822,-0.6402
1771976194.8139,-0.2363,0.0763,0.7244,0.0000,0.0000,0.0000,0.0000
1771976194.8637,-0.2363,0.0763,0.7244,0.0000,0.0000,0.0000,0.0000
1771976195.0641,-0.2469,0.0804,0.7561,0.1206,-0.0280,0.0277,0.1173
1771976195.1150,-0.2363,0.0763,0.7244,0.6565,0.2077,-0.0799,-0.6228
1771976195.1657,-0.2363,0.0763,0.7244,0.0000,0.0000,0.0000,0.0000
1771976196.0699,0.2318,0.0736,0.7769,0.0386,0.0054,0.0030,0.0383
1771976196.1195,0.2318,0.0736,0.7769,0.0000,0.0000,0.0000,0.0000
1771976196.1694,0.2416,0.0771,0.8075,0.6446,0.1962,0.0714,0.6140
1771976196.2208,0.2316,0.0734,0.7750,0.6632,-0.1957,-0.0722,-0.6336
1771976196.2702,0.2416,0.0771,0.8075,0.6890,0.2034,0.0750,0.6583
1771976196.5717,0.2418,0.0772,0.8080,0.0093,0.0033,0.0007,0.0088
1771976197.0241,0.2416,0.0771,0.8075,0.0000,0.0000,0.0000,0.0000
1771976197.2752,0.2316,0.0734,0.7750,0.6827,-0.2015,-0.0744,-0.6523
1771976197.4258,0.2416,0.0771,0.8075,0.0000,0.0000,0.0000,0.0000
1771976197.4758,0.2416,0.0771,0.8075,99.4411,14.1269,-26.8189,-98.4325
1771976197.8783,0.2416,0.0771,0.8075,0.0259,0.0130,0.0018,0.0224
1771976199.3358,0.2316,0.0734,0.7750,0.5113,-0.1470,-0.0520,-0.4897
1771976199.3860,0.2418,0.0772,0.8080,0.6875,0.2034,0.0746,0.6567
1771976199.5863,0.2390,0.0761,0.7998,0.1627,-0.0519,-0.0214,-0.1542
